,id,code,label
154,93,"CompilationUnit Import java.util  ClassDeclaration Solution MethodDeclaration /**
    Given a list of numbers, return whether or not they are sorted
    in ascending order. If list has more than 1 duplicate of the same
    number, return false. Assume no negative numbers and only integers.
    ...
     */ Modifier public BasicType boolean isSorted FormalParameter ReferenceType List TypeArgument ReferenceType Integer lst LocalVariableDeclaration BasicType boolean VariableDeclarator hasDuplicate Literal false ForStatement ForControl VariableDeclaration BasicType int VariableDeclarator i Literal 0 BinaryOperation < MemberReference i BinaryOperation - MethodInvocation lst size Literal 1 MemberReference ++ i BlockStatement IfStatement MethodInvocation lst MethodInvocation MethodInvocation lst BinaryOperation + MemberReference i Literal 1 get equals MemberReference i get BlockStatement StatementExpression Assignment MemberReference hasDuplicate Literal true = BreakStatement End End IfStatement MemberReference hasDuplicate BlockStatement ReturnStatement Literal false End ForStatement ForControl VariableDeclaration BasicType int VariableDeclarator i Literal 0 BinaryOperation < MemberReference i BinaryOperation - MethodInvocation lst size Literal 1 MemberReference ++ i BlockStatement IfStatement BinaryOperation > MethodInvocation lst MemberReference i get MethodInvocation lst BinaryOperation + MemberReference i Literal 1 get BlockStatement ReturnStatement Literal false End End ReturnStatement Literal true",1
192,42,,1
66,44,"CompilationUnit Import java.util  Import java.lang  ClassDeclaration Solution MethodDeclaration Modifier public ReferenceType String intersection FormalParameter ReferenceType List TypeArgument ReferenceType Integer interval1 FormalParameter ReferenceType List TypeArgument ReferenceType Integer interval2 LocalVariableDeclaration BasicType int VariableDeclarator l MethodInvocation Math MethodInvocation interval1 Literal 0 get MethodInvocation interval2 Literal 0 get max LocalVariableDeclaration BasicType int VariableDeclarator r MethodInvocation Math MethodInvocation interval1 Literal 1 get MethodInvocation interval2 Literal 1 get min LocalVariableDeclaration BasicType int VariableDeclarator length BinaryOperation - MemberReference r MemberReference l IfStatement BinaryOperation <= MemberReference length Literal 0 BlockStatement ReturnStatement Literal ""NO"" End IfStatement BinaryOperation == MemberReference length Literal 1 BlockStatement ReturnStatement Literal ""NO"" End IfStatement BinaryOperation == MemberReference length Literal 2 BlockStatement ReturnStatement Literal ""YES"" End ForStatement ForControl VariableDeclaration BasicType int VariableDeclarator i Literal 2 BinaryOperation < MemberReference i MemberReference length MemberReference ++ i BlockStatement IfStatement BinaryOperation == BinaryOperation % MemberReference length MemberReference i Literal 0 BlockStatement ReturnStatement Literal ""NO"" End End ReturnStatement Literal ""YES""",2
71,77,CompilationUnit Import java.util  Import java.lang  Import java.util.stream.Collectors ClassDeclaration Solution MethodDeclaration Modifier public ReferenceType List TypeArgument ReferenceType Integer getPositive FormalParameter ReferenceType List TypeArgument ReferenceType Integer l ReturnStatement MethodInvocation l MethodInvocation LambdaExpression MemberReference p BinaryOperation > MemberReference p Literal 0 filter MethodInvocation MethodInvocation Collectors toList collect stream,2
311,148,,1
15,22,CompilationUnit Import java.util  Import java.lang  ClassDeclaration Solution MethodDeclaration Modifier public ReferenceType List TypeArgument ReferenceType Integer sortArray FormalParameter ReferenceType List TypeArgument ReferenceType Integer array IfStatement BinaryOperation == MethodInvocation array size Literal 0 BlockStatement ReturnStatement MemberReference array End LocalVariableDeclaration ReferenceType List TypeArgument ReferenceType Integer VariableDeclarator result ClassCreator ReferenceType ArrayList MemberReference array IfStatement BinaryOperation == BinaryOperation % BinaryOperation + MethodInvocation result Literal 0 get MethodInvocation result BinaryOperation - MethodInvocation result size Literal 1 get Literal 2 Literal 1 BlockStatement StatementExpression MethodInvocation Collections MemberReference result sort BlockStatement StatementExpression MethodInvocation result MethodInvocation Collections reverseOrder sort End ReturnStatement MemberReference result,2
0,82,"CompilationUnit Import java.util  Import java.lang  ClassDeclaration Solution MethodDeclaration Modifier public ReferenceType String encode FormalParameter ReferenceType String message LocalVariableDeclaration ReferenceType String VariableDeclarator vowels Literal ""aeiouAEIOU"" LocalVariableDeclaration ReferenceType StringBuilder VariableDeclarator sb ClassCreator ReferenceType StringBuilder ForStatement EnhancedForControl VariableDeclaration BasicType char VariableDeclarator c MethodInvocation message toCharArray BlockStatement LocalVariableDeclaration BasicType char VariableDeclarator ch MemberReference c IfStatement MethodInvocation Character MemberReference ch isUpperCase BlockStatement StatementExpression Assignment MemberReference ch MethodInvocation Character MemberReference ch toLowerCase = IfStatement BinaryOperation != MethodInvocation vowels MemberReference ch indexOf Literal - 1 BlockStatement StatementExpression Assignment MemberReference ch Cast BasicType char BinaryOperation + Literal 'a' BinaryOperation % BinaryOperation + BinaryOperation - MemberReference ch Literal 'a' Literal 28 Literal 26 = End IfStatement MethodInvocation Character MemberReference ch isLowerCase BlockStatement StatementExpression Assignment MemberReference ch MethodInvocation Character MemberReference ch toUpperCase = IfStatement BinaryOperation != MethodInvocation vowels MemberReference ch indexOf Literal - 1 BlockStatement StatementExpression Assignment MemberReference ch Cast BasicType char BinaryOperation + Literal 'A' BinaryOperation % BinaryOperation + BinaryOperation - MemberReference ch Literal 'A' Literal 28 Literal 26 = End End End StatementExpression MethodInvocation sb MemberReference ch append End ReturnStatement MethodInvocation sb toString",1
104,28,CompilationUnit Import java.util  Import java.lang  ClassDeclaration Solution MethodDeclaration Modifier public BasicType boolean belowThreshold FormalParameter ReferenceType List TypeArgument ReferenceType Integer l FormalParameter BasicType int t ForStatement EnhancedForControl VariableDeclaration BasicType int VariableDeclarator e MemberReference l BlockStatement IfStatement BinaryOperation >= MemberReference e MemberReference t BlockStatement ReturnStatement Literal false End End ReturnStatement Literal true,2
194,106,,2
81,79,CompilationUnit Import java.util  Import java.lang  ClassDeclaration Solution MethodDeclaration Modifier public BasicType int fibfib FormalParameter BasicType int n IfStatement BinaryOperation == MemberReference n Literal 0 BlockStatement ReturnStatement Literal 0 End IfStatement BinaryOperation == MemberReference n Literal 1 BlockStatement ReturnStatement Literal 0 End IfStatement BinaryOperation == MemberReference n Literal 2 BlockStatement ReturnStatement Literal 1 End ReturnStatement BinaryOperation + BinaryOperation + MethodInvocation BinaryOperation - MemberReference n Literal 1 fibfib MethodInvocation BinaryOperation - MemberReference n Literal 2 fibfib MethodInvocation BinaryOperation - MemberReference n Literal 3 fibfib,2
